
tcpserver	 devID：7	 write:734	 12/23/2021, 1:38:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:39:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:39:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:39:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:40:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:40:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:40:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:41:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:41:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:41:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:42:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:42:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:42:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:43:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:43:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:43:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:44:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:44:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:44:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:45:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:45:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:45:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:46:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:46:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:46:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:47:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:47:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:47:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:48:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:48:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:48:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:49:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:49:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:49:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:50:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:50:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:50:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:51:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:51:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:51:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:52:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:52:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:52:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:53:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:53:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:53:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:54:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:54:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:54:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:55:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:55:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:55:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:56:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:56:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:56:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:57:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:57:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:57:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:58:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:58:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:58:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:59:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:59:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 1:59:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:00:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:00:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:00:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:01:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:01:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:01:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:02:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:02:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:02:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:03:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:03:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:03:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:04:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:04:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:04:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:05:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:05:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:05:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:06:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:06:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:06:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:07:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:07:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:07:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:08:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:08:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:08:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:09:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:09:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:09:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:10:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:10:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:10:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:11:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:11:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:11:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:12:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:12:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:12:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:13:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:13:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:13:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:14:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:14:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:14:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:15:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:15:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:15:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:16:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:16:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:16:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:17:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:17:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:17:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:18:16 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:18:36 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:18:56 PM 
tcpserver	 devID：7	 write:734	 12/23/2021, 2:19:16 PM 
